"y" "x1" "x2"
"1" 15.68 6.87 14.09
"2" 6.18 4.4 4.35
"3" 18.1 0.43 18.09
"4" 9.07 2.73 8.65
"5" 17.97 3.25 17.68
"6" 10.04 5.3 8.53
"7" 20.74 7.08 19.5
"8" 9.76 9.73 0.72
"9" 8.23 4.51 6.88
"10" 6.52 6.4 1.26
"11" 15.69 5.72 14.62
"12" 15.51 6.28 14.18
"13" 20.61 6.14 19.68
"14" 19.58 8.26 17.75
"15" 9.72 9.41 2.44
"16" 16.36 2.88 16.1
"17" 18.3 5.74 17.37
"18" 13.26 0.45 13.25
"19" 12.1 3.74 11.51
"20" 18.15 5.03 17.44
"21" 16.8 9.67 13.74
"22" 16.55 3.62 16.15
"23" 18.79 2.54 18.62
"24" 15.68 9.15 12.74
"25" 4.08 0.69 4.02
"26" 15.45 7.97 13.24
"27" 13.44 2.49 13.21
"28" 20.86 9.81 18.41
"29" 16.05 7.56 14.16
"30" 6 0.98 5.92
"31" 3.29 0.65 3.22
"32" 9.41 9 2.74
"33" 10.76 7.83 7.39
"34" 5.98 0.26 5.97
"35" 19.23 3.64 18.89
"36" 15.67 9.28 12.63
"37" 7.04 5.66 4.18
"38" 21.63 9.71 19.32
"39" 17.84 9.36 15.19
"40" 7.49 0.88 7.43
"41" NA 9.87 10.43
"42" NA 9.99 15.72
"43" NA 8.39 0.35
"44" NA 0.8 10.91
"45" NA 9.58 15.82
"46" NA 4.82 11.9
"47" NA 2.97 2.46
"48" NA 8.8 4.09
"49" NA 6.07 1.8
"50" NA 0.19 13.54
"51" NA 4.19 19.13
"52" NA 5.39 14.84
"53" NA 6.58 5.28
"54" NA 2.36 15.42
"55" NA 2.37 4.12
"56" NA 1.52 6.54
"57" NA 2.07 2.67
"58" NA 6.7 12.85
"59" NA 2.02 8.36
"60" NA 9.63 12.16
